Target	TCGA_E2_A10E_01A_21R_A10J_07	TCGA_D8_A1JB_01A_11R_A13Q_07	TCGA_AR_A5QN_01A_12R_A28M_07	TCGA_LL_A50Y_01A_11R_A266_07	TCGA_B6_A0I5_01A_11R_A034_07	TCGA_D8_A141_01A_11R_A115_07	TCGA_E2_A14Q_01A_11R_A12D_07	TCGA_B6_A0I8_01A_11R_A034_07	TCGA_AC_A3HN_01A_11R_A213_07	TCGA_A2_A04V_01A_21R_A034_07	TCGA_A2_A1FW_01A_11R_A13Q_07	TCGA_C8_A12U_01A_11R_A115_07	TCGA_EW_A1PC_01B_11R_A21T_07	TCGA_5T_A9QA_01A_11R_A41B_07	TCGA_AN_A0AJ_01A_11R_A00Z_07	TCGA_A2_A04R_01A_41R_A109_07	TCGA_AR_A0TV_01A_21R_A084_07	TCGA_A8_A09R_01A_11R_A00Z_07	TCGA_E2_A1L7_01A_11R_A144_07	TCGA_BH_A42T_01A_11R_A24H_07
TSPAN6	8.930737338	11.70130646	12.06339508	9.339850003	12.29203399	10.95128471	10.17866485	12.25000227	10.10328781	11.79238361	9.960001932	6.658211483	11.32361776	11.11048331	11.8637991	10.46862404	7.276124405	9.019590728	10.89557528	11.00842862
TNMD	5.129283017	2.584962501	5.857980995	3.807354922	2.321928095	4.087462841	3	1.584962501	7.491853096	6.303780748	5.459431619	1	3	1.584962501	3.459431619	3.584962501	1	2.807354922	4.247927513	5.129283017
DPM1	10.71510401	11.57837269	10.78135971	11.19967234	10.65015421	10.15987134	10.58871464	11.45891921	10.37721053	10.52552081	10.88340699	11.22881869	12.19321732	11.56700537	11.70865284	10.6794801	10.97656412	10.64295422	11.00562455	10.82257083
SCYL3	11.13057056	10.64475759	10.73978061	10.48179943	10.72195361	10.43045255	10.71853288	11.2632692	10.48381578	10.30035256	10.22761594	9.491853096	10.19352536	10.71596199	10.08081753	10.59991284	9.707359132	11.1692987	10.23840474	9.927777962
C1orf112	9.224001674	8.294620749	9.296916207	8.539158811	7.988684687	8.430452552	9.394462695	9.257387843	8.768184325	8.30833903	8.980139578	9.136991112	10.04984855	9.601770788	9.807354922	9.917372079	9.060695932	9.398743692	9.592457037	9.428360173
FGR	7.942514505	8.519636253	8.885696373	9.398743692	8.936637939	9.552669098	7.918863237	7.62935662	9.283088353	8.696967526	7.665335917	8.82336724	7.238404739	7.607330314	9.651051691	7.607330314	9.804131021	8.82336724	9.375039431	9.14974712
CFH	10.46964182	11.48834228	11.76777065	9.689997971	10.41996018	12.70173964	10.81458247	10.43879185	11.78258876	11.15924065	11.16050175	10.19105921	10.34096276	7.8008999	11.53381639	10.19475685	10.56700537	11.87382857	11.32136443	9.693486957
FUCA2	11.4278366	11.35093918	11.41362793	10.71596199	11.93258387	10.6635581	10.65731845	11.47421294	10.46454575	10.60547952	10.27029533	12.09803208	11.59712143	11.43567026	10.47876962	10.49085088	11.94471206	11.30035256	11.51816136	11.3426303
GCLC	11.28250931	11.1959873	9.797661526	11.41204051	9.899356923	10.44604941	10.99223026	11.00211178	10.70563239	10.66266838	11.47522678	11.87344411	10.712527	10.58871464	10.94617524	10.50680344	11.59851781	11.01471793	10.44914865	10.03479896
NFYA	11.97584797	11.05866825	11.22158712	10.67771964	11.12023788	11.22158712	11.43879185	11.7300455	10.97871046	11.82615121	11.62890115	11.66711154	11.65642486	10.31854281	12.23691111	12.11991379	11.19475685	11.61976146	10.49984589	11.09341756
STPG1	8.348728154	9.269126679	8.400879436	9.776433032	9.736401931	9.339850003	9.74819285	8.945443836	8.731319031	9.366322214	8.463524373	10.37286506	9.283088353	9.440869168	9.659995892	8.503825738	9.885696373	8.682994584	8.54303182	8.592457037
NIPAL3	10.48482289	11.51914479	10.34762137	11.20151134	10.84784036	10.83051521	11.63163181	11.40514146	11.50183718	11.80251637	11.20212382	10.33203655	10.16490693	10.39231742	9.430452552	9.611024797	13.20350095	11.06002035	10.64024494	9.930737338
LAS1L	11.31797782	11.183015	11.54978467	11.82257083	11.86920825	11.21674586	11.63026713	11.83802206	11.16804527	11.64430696	11.10394343	12.38424412	12.27554256	11.20579325	11.9162527	11.90425828	11.86766485	11.80856203	11.61424973	12.13635034
ENPP4	11.54399845	11.57837269	12.62935662	10.85408918	9.124121312	8.962896005	9.355351096	12.51249357	10.90989308	8.413627929	8.741466986	10.02375435	9.975847968	10.69174352	9.930737338	11.05799172	10.72109919	10.94909716	10.05528244	8.64385619
SEMA3F	12.99223026	12.04302728	12.65865779	12.99276135	12.76818432	11.666224	12.73259144	12.76404222	12.61079417	13.21264837	12.27583351	13.58437535	12.81458247	13.48984796	12.41600578	13.49872457	11.25856603	13.03307881	13.02080636	12.69392249
CFTR	3.459431619	5.129283017	4.321928095	2.807354922	2.807354922	3.169925001	5.392317423	2	3.807354922	1	4.459431619	2.807354922	5.95419631	8.939579214	3.459431619	2.584962501	0	4.392317423	3	1
ANKIB1	12.45943162	12.55002526	11.71810471	10.32192809	11.6110248	11.8837888	11.97835296	12.33539035	11.78667803	12.18115226	12.19198451	11.85759229	11.71510401	10.84392105	11.52160044	12.574357	11.28828934	12.31373335	11.22761594	10.56795608
CYP51A1	6.554588852	7.055282436	6.942514505	2.807354922	3.459431619	5.584962501	6.247927513	8.194756854	6.672425342	4.857980995	5.727920455	6.129283017	6.523561956	7.46760555	5.584962501	8.459431619	6.426264755	7.651051691	2.807354922	6.475733431
KRIT1	8.21916852	8.426264755	8.252665432	8.707359132	8.731319031	7.761551232	8.459431619	9.131856961	8.30833903	8.794415866	7.554588852	8.791162889	8.22881869	8.640244936	8.082149041	8.897845456	7.900866808	7.832890014	7.491853096	7.864186145
RAD52	9.033423002	8.891783703	8.8008999	8.864186145	8.751544059	8.573647187	8.06608919	9.686500527	8.487840034	8.658211483	9.057991723	10.53332973	9.415741768	9.487840034	9	8.611024797	9.656424863	8.243173983	8.357552005	8.965784285
BAD	8.876516947	7.912889336	9.157346935	10.40514146	7.46760555	7.924812504	9.571752644	8.027905997	8.388017285	8.159871337	8.527477006	8.897845456	8.603626345	8.951284715	9.041659152	9.839203788	8.703903573	8.527477006	8.438791853	9.647458426
LAP3	13.02513956	13.25207404	12.85096815	12.55961609	11.87190524	13.73566179	12.61332905	12.38963134	13.03204573	11.67771964	12.02859678	13.00597536	12.2285181	12.55626654	13.02807872	12.02583167	12.99364606	13.26839579	13.27873983	12.39258576
CD99	12.6553071	12.48984796	13.70401169	13.8840751	13.76414592	14.22934458	13.28973074	11.80170836	13.59409129	13.50767078	11.35093918	11.8560364	13.34872815	11.11243951	12.69718478	12.84803604	12.26268214	13.00404486	13.00597536	13.22415245
HS3ST1	8.54689446	8.027905997	7.076815597	7.761551232	6.686500527	7.948367232	6.266786541	7.276124405	8.754887502	8.124121312	5.044394119	7.607330314	7.62935662	7.64385619	7.539158811	7.257387843	6.672425342	7.965784285	8.876516947	8.335390355
AOC1	4.906890596	8.577428828	3.584962501	6.741466986	7.033423002	6.672425342	3.321928095	9.346513733	5.392317423	6.894817763	2	3	4.807354922	7.982993575	5.247927513	2.584962501	4.584962501	6.87036472	5.285402219	5.523561956
WNT16	1.584962501	4.392317423	3	2.321928095	4.247927513	3.321928095	2.321928095	2.321928095	1.584962501	1.584962501	1	2	1.584962501	2.584962501	2	2.321928095	1.584962501	1	1.584962501	1
HECW1	2.807354922	4.247927513	3.906890596	2.807354922	2.321928095	5.554588852	5.392317423	2.807354922	4.392317423	4	4.584962501	3.321928095	5.285402219	3	5.357552005	4.64385619	3.584962501	6.189824559	4.321928095	3.321928095
MAD1L1	3.906890596	4.754887502	3.807354922	4.700439718	3.584962501	4.169925001	3.459431619	4.169925001	3.906890596	3.459431619	3.169925001	4.754887502	3.807354922	6.285402219	5.044394119	3.169925001	4.169925001	3.906890596	4.523561956	4.906890596
LASP1	14.62844554	13.75457438	13.95746485	14.33308545	13.85438143	14.06373212	13.93461233	15.68526894	14.5012152	14.33636708	13.11276528	14.56510208	13.83664215	13.91690578	13.99735593	14.08447624	14.52882035	14.76352362	13.42626475	13.78350986
SNX11	10.18735207	11.17242751	10.66711154	11.0986901	10.17617315	10.51865316	9.681238412	11.27844946	10.22520744	10.15734694	11.90538701	10.49884921	10.81458247	10.99647349	10.46760555	10.51076417	11.08613623	10.84392105	10.56700537	10.97656412
TMEM176A	12.14497682	11.09011242	10.18239435	12.19383333	12.44553222	11.78871833	10.21674586	12.09638573	11.25148241	10.43045255	9.167418146	10.08347933	6.754887502	10.64295422	10.6891244	9.527477006	10.28077077	10.39339046	10.66266838	9.238404739
M6PR	11.79522797	12.00422047	11.84588203	10.74651432	10.20089861	12.02410078	10.91139199	12.67683861	11.90199819	11.05120894	12.277578	11.17554955	11.79156991	11.42731284	11.88950396	11.40567333	12.15955603	11.90312868	11.79075575	11.80574387
KLHL13	7.383704292	9.972979786	10.05663772	5.754887502	7.339850003	6.64385619	10.07146236	7.614709844	7.936637939	5.129283017	8.299208018	12.31259938	8.224001674	6.285402219	4.906890596	8.584962501	4.459431619	6.06608919	7.276124405	7.348728154
CYP26B1	8.475733431	6.022367813	8.968666793	5.584962501	7.426264755	7.857980995	5.857980995	5.930737338	7.839203788	7.321928095	7.06608919	6.266786541	7.6794801	6.044394119	7.022367813	7.044394119	7.21916852	9.670656249	7.845490051	7.209453366
ICA1	11.53186878	10.85018684	11.4943556	12.68628166	11.94873224	11.02928723	12.19352536	11.67991988	11.51717725	12.00842862	12.16144685	11.37666806	11.76652891	12.11276528	11.68693817	9.933690655	10.41362793	10.60177079	10.20457114	11.5980525
DBNDD1	9.47370575	10.83368075	9.902375114	10.76404222	11.98726401	10.65194861	11.38747887	11.37395266	9.407267764	10.62570884	11.03617361	12.79907921	11.0409746	11.45327063	10.68211676	11.07079181	8.113742166	11.71381608	10.54689446	9.792790294
ALS2	10.88111396	10.77889848	10.89784546	9.73978061	9.888743249	10.55650605	10.76901132	10.94617524	10.48784003	10.64205169	11.20945337	10.83526092	10.80735492	10.54399845	9.845490051	11.29232163	10.51668495	11.2179577	11.16616308	10.89330153
CASP10	7.982993575	10.10983065	8.936637939	8.092757141	7.971543554	9.434628228	8.554588852	8.539158811	9.457380879	8.388017285	8.668884984	10.55458885	7.14974712	7.74819285	8.618385502	7.8008999	8.857980995	8.813781191	8.370687407	7.982993575
CFLAR	12.16333519	12.53162514	12.30720081	11.62159404	11.47725232	12.5456885	11.75447	12.00982862	12.70390357	10.34207467	11.74735383	11.86534664	11.37503943	11.06272077	11.49085088	11.42678889	11.67109873	11.8273427	12.57672053	11.46505617
TFPI	8.588714636	9.980139578	10.01122726	7.761551232	9.357552005	9.645658432	10.033423	9.285402219	10.25738784	9.17990909	9.63481105	8.388017285	8.487840034	13.48394171	8.54303182	8.854868383	8.451211112	8.252665432	8.668884984	8.124121312
NDUFAF7	9.005624549	9.330916878	9.113742166	9.4325419	9	9.025139562	9.139551352	9.14974712	9.030667136	9.588714636	9.440869168	9.658211483	9.442943496	10.08081753	9.033423002	9.385862401	9.238404739	8.717676423	9.312882955	9.618385502
RBM5	12.21674586	11.83880999	12.01332267	12.05596023	11.56510208	12.13923157	11.79603961	11.00842862	12.2822197	12.26003742	12.29548197	11.60779264	11.20762447	12.38154295	11.40620501	12.06238349	11.28019079	11.79968636	11.28655776	11.27321281
MTMR7	5.672425342	6.044394119	4.807354922	5.614709844	7.022367813	5.781359714	8.17990909	6.209453366	4.857980995	5.882643049	5.700439718	8.851749041	5.727920455	5.247927513	5.321928095	8.960001932	5.247927513	5.491853096	8.625708843	4.523561956
SLC7A2	13.28727951	14.71005304	12.92407019	9.769837844	15.70900301	15.4003458	13.32164629	15.33060181	9.438791853	13.31854281	10.98726401	14.85662005	14.84067959	7.562242424	12.61332905	16.23874059	6.658211483	14.97669836	13.44617867	7.832890014
ARF5	12.26620091	11.88302507	12.23631323	12.96668569	13.60385812	11.83249448	12.4437206	12.08547246	12.10000522	12.58331787	10.5372184	12.60293079	12.42914517	12.22972009	11.7026056	12.82356627	12.4372319	11.6956633	11.4003458	12.49835061
SARM1	7.294620749	8.558420713	7.276124405	4.584962501	5.781359714	8.28077077	7.257387843	8.252665432	7.515699838	6.523561956	7.321928095	7.562242424	6.768184325	9.463524373	6.918863237	8.724513853	9.786269628	10.12412131	6.523561956	6.977279923
POLDIP2	12.65150022	12.34124082	12.58120058	12.99841414	13.25207404	12.43593065	11.96217303	12.35342254	12.48381578	12.92851838	13.50171281	12.69457554	13.43345504	13.64058388	13.12023788	12.58402294	13.12976598	12.9853083	12.12799432	12.96470186
PLXND1	12.42442876	12.4655664	12.86592655	13.40965611	12.65754176	13.35066299	12.11374217	12.92407019	14.37714273	13.51520703	11.26385602	13.73566179	14.33971085	11.50233458	12.60293079	12.17897601	12.86592655	14.37714273	13.26781082	14.34304688
AK2	12.11634396	12.54713553	12.33371443	12.96668569	13.02721489	12.69392249	12.72919586	11.90989308	12.05018877	12.83130724	12.18363538	12.89462832	12.76279726	12.47750532	12.39204904	12.77766628	12.9235132	12.17274002	13.18099692	12.41653366
CD38	6.977279923	9.618385502	6.820178962	6.285402219	5.906890596	8.658211483	6.087462841	5.209453366	7.832890014	5.392317423	8.038918989	9.159871337	5.285402219	4.906890596	8.791162889	5.64385619	9.06608919	8.836050355	8.700439718	5.781359714
FKBP4	13.94818469	13.27990072	14.19982568	14.45936758	13.81738343	13.52441928	13.09424267	14.16545663	13.71499673	14.12412131	14.56510208	16.18148229	13.21886591	14.21158415	14.36700515	14.54478336	14.86747181	14.19690944	14.59426628	14.30392341
KDM1A	11.90388185	12.08679969	11.5943246	12.65642486	12.51348088	12.71746223	12.59944798	11.65463603	12.20945337	12.77210834	12.55626654	12.89595389	13.44203634	12.11861669	12.60362634	11.76445696	12.71810471	11.71467483	13.01122726	11.99506047
RBM6	12.09671515	11.63390341	12.09934781	12.29920802	11.57412044	12.13282101	11.92592526	11.36139553	11.73978061	12.07748336	12.40327838	11.90199819	11.85720347	12.27408691	12.0115767	12.01297365	11.97513146	11.55554777	11.45994385	11.65910396
CAMKK1	9.296916207	8.686500527	8.906890596	10.49385545	10.22520744	9.949826711	8.820178962	10.62844554	10.14974712	8.224001674	8.396604781	7.839203788	10.33315535	9.909893084	11.4604559	7.366322214	11.06608919	8.672425342	8.174925683	9.095397023
RECQL	10.36303963	10.38801729	10.25974326	7.727920455	7.451211112	10.95346896	9.366322214	10.37177664	10.37395266	9.445014846	10.666224	8.971543554	11.73131903	9.108524457	10.04165915	10.2227949	10.00982862	10.85408918	10.26209485	10.01402047
VPS50	11.00492268	10.93147623	10.71767642	10.44086917	10.67065625	10.60917874	10.64835758	11.12541347	10.51076417	10.45224124	10.25738784	10.35424938	9.968666793	10.19475685	10.16113188	10.91811785	9.847057346	10.74735383	9.607330314	9.273795599
HSPB6	6.50779464	5.930737338	8.6794801	5.169925001	6.357552005	6.491853096	5.357552005	5.169925001	8.124121312	6.672425342	6.426264755	4.584962501	3	3.807354922	3.807354922	6.044394119	4.64385619	4.392317423	5.781359714	8.73809226
ARHGAP33	8.764871591	8.290018847	9.599912842	10.13442632	8.46760555	8.807354922	9.030667136	8.233619677	9.48984796	9.517669388	9.707359132	8.651051691	10.37612539	8.647458426	9.656424863	9.744833837	9.912889336	8.54689446	9.792790294	10.93884446
NDUFAB1	11.19414124	11.15987134	11.70865284	12.25000227	11.54978467	11.14911199	11.62205182	11.2737956	10.79360331	11.54206454	11.07146236	12.48331195	11.01402047	11.59011917	12.05528244	11.51323411	12.27146303	10.96289601	10.57080444	12.00632608
PDK4	10.53915881	9.899356923	13.4433321	9.002815016	9.312882955	10.19352536	13.66833102	10.44086917	11.88187871	11.94104761	12.0610336	7.321928095	9.726218159	7.936637939	10.24079133	11.16553514	7.636624621	8.651051691	11.86843676	11.56795608
SLC22A16	1.584962501	1	3.169925001	0	1	1	1.584962501	1	1.584962501	8.554588852	2.321928095	2.321928095	5.781359714	0	5.129283017	0	2.807354922	1	1.584962501	3.169925001
ZMYND10	8.426264755	6.50779464	7.658211483	11.15165083	11.6379833	9.782998209	11.00702727	8.741466986	9.914385132	8.375039431	5.459431619	9.392317423	9.361943774	9.002815016	11.47522678	9.417852515	9.394462695	8.303780748	10.16490693	8.945443836
ABCB5	2.321928095	3.169925001	6.658211483	4	0	1	4.523561956	4.459431619	6.977279923	1.584962501	5.754887502	3	2.584962501	0	1	4.321928095	1	2.321928095	1	3
ARX	7	3.459431619	8.13442632	2	0	1	2.321928095	1.584962501	4.95419631	1	8.689997971	6.87036472	4.169925001	2.584962501	6	2.807354922	1.584962501	0	2	3.807354922
SLC25A13	10.28771238	10.45943162	10.14847658	9.465566405	9.721099189	9.400879436	9.505811554	10.9068906	9.569855608	9.614709844	10.2467406	10.84156435	11.13570929	10.12153352	9.975847968	10.37503943	9.353146825	11.07481046	9.744833837	9.746514321
ST7	10.58308277	9.836050355	9.642051693	10.84077792	11.04507705	9.961449694	10.34872815	10.10459875	9.915879379	10.39874369	9.766528909	9.501837185	9.599912842	10.81858218	9.906890596	10.58965115	11.39231742	9.577428828	10.00422047	9.702172685
CDC27	12.22911922	12.43827206	11.6183855	11.10721708	11.19044202	12.02513956	11.1376316	11.96974625	11.77889848	11.86263736	11.32474311	11.32530546	12.48457118	11.76859788	12.28395649	12.51693112	12.10361566	12.52184578	11.85135865	11.79400965
SLC4A1	1	1.584962501	3	0	0	0	1	1	3	2.321928095	5.832890014	2.807354922	2.321928095	3	0	1	1	2	2.321928095	2.584962501
CALCR	1.584962501	5.977279923	4.169925001	3.807354922	3	3.807354922	4	3.906890596	5.459431619	1	3	2	3	0	5.087462841	2.584962501	1.584962501	4.95419631	3.459431619	2.584962501
HCCS	9.891783703	10.33539035	9.95419631	10.02375435	10.16490693	9.926295995	10.02928723	10.04302728	9.493855449	9.920352855	10.15101654	11.13891172	11.10197567	9.960001932	10.59618976	10.10459875	10.75321675	10.39124359	10.13570929	10.13057056
DVL2	10.30833903	10.05120894	10.21431912	11.18053081	10.95346896	10.67242534	10.06339508	10.357552	10.63662462	10.37286506	10.57648435	10.38694025	11.5943246	11.51963625	10.94251451	10.56224242	11.06406908	10.02236781	10.65910396	10.62205182
PRSS22	8.829722735	8.86727874	10.60177079	10.70994538	8.596189756	7.851749041	9.353146825	11.75112558	9.794415866	8.845490051	8.936637939	10.17617315	9.603626345	9.897845456	8.816983623	9.074141463	9.071462363	9.544964433	6.554588852	10.39124359
UPF1	12.30862345	12.60060985	12.93129155	12.7856568	12.05697634	12.84725314	12.78156463	13.14051027	13.16427844	12.62730588	12.65798828	12.82276997	12.98245888	12.78483929	12.32108252	12.90858026	12.80392929	12.7054164	13.26165422	13.04593026
SKAP2	9.487840034	11.35974956	9.906890596	9.016808288	9.269126679	11.05731488	10.53235593	9.562242424	10.68035952	9.575539247	10.83683936	11.46760555	9.236014192	8.092757141	9.874981348	10.61930296	10.58590145	11.02306125	9.945443836	9.417852515
SLC25A5	13.13522831	14.00211178	12.76051205	13.67010296	12.6075615	13.03014982	13.68255574	13.46058388	13.18827975	12.7084373	12.83605036	14.38397423	14.66389161	12.67176219	14.19398729	13.04984855	12.84686153	13.4621188	13.550867	13.93461233
MCUB	10.23242093	9.558420713	10.49085088	10.07948478	10.34762137	10.16616308	9.581200582	8.451211112	10.14210706	10.6183855	8.693486957	8.092757141	9.136991112	10.36194377	10.45532722	10.25148241	10.71510401	9.361943774	10.43775207	10.45018025
HOXA11	4.700439718	3.700439718	3.584962501	5.95419631	5.857980995	7.321928095	3.584962501	4.64385619	5.781359714	6.375039431	3.906890596	2.807354922	6.965784285	5.523561956	5.169925001	4.169925001	2.807354922	5.781359714	2.807354922	5.129283017
POLR2J	10.27496047	10.28886607	10.69957245	11.80413102	12.33594857	9.808964175	10.91737208	10.99293834	10.48784003	10.72109919	9.403012024	11.26678654	10.78953364	10.59245704	10.12412131	10.88340699	9.815383296	10.2772874	9.826548487	11.2485206
DHX33	10.77066389	10.26209485	10.63662462	10.01262454	10.38046107	10.35314683	9.843921051	10.63934071	10.54012804	9.962896005	10.73047014	10.53332973	10.55362929	10.73724734	11.85681455	10.37068741	10.91811785	10.31628153	10.19721669	10.01680829
MEOX1	6.977279923	9.54689446	8.997179481	6.714245518	7.965784285	6.857980995	7.499845887	7.366322214	9.33315535	8.13442632	7.77478706	6.754887502	4.807354922	2.584962501	6.977279923	6.686500527	7.807354922	4.523561956	7.087462841	7.577428828
THSD7A	6.658211483	8.379378367	8.588714636	5.247927513	7.693486957	7.87036472	8.826548487	8.845490051	8.64385619	7.787902559	7.6794801	6.714245518	8.409390936	5.64385619	7.686500527	7.569855608	6.930737338	6.554588852	7.011227255	6.247927513
LIG3	11.76321237	11.35700209	11.36741475	11.26795708	10.86573327	11.13121391	10.47471995	12.39660478	10.7984718	11.37395266	12.34845154	11.26209485	12.29059489	12.41758884	12.10197567	11.712527	12.51963625	12.033423	10.78626963	11.46505617
RPAP3	11.23122118	11.00912879	10.85564717	10.91438513	10.43358544	10.55170826	10.65105169	10.86186234	10.54399845	10.80735492	11.56462586	10.72792045	10.82257083	10.96289601	11.83644491	11.12928302	11.1711768	10.95274125	10.98868469	10.61562964
ACSM3	6.022367813	7.864186145	6.321928095	6.569855608	6.95419631	7.312882955	7.761551232	5.614709844	6.700439718	5.523561956	6.794415866	5	5.209453366	8.74819285	6.741466986	7.209453366	7.864186145	6.06608919	6.303780748	6.87036472
REXO5	8.475733431	7.294620749	8.383704292	9.226412193	9.197216693	8.392317423	8.965784285	8.194756854	7.807354922	8.614709844	8.86727874	10.02513956	9.773139207	9.493855449	10.42731284	9.890264277	10.30720081	7.562242424	8.076815597	8.77148947
CIAPIN1	10.4918531	11.16867212	10.50382574	10.9068906	10.59152235	10.69696753	10.74986943	11.48482289	10.50779464	10.42626475	11.35259523	12.25207404	11.18239435	11.45584091	11.08613623	10.79279029	10.78381676	10.90914305	10.33427329	10.99929539
SPPL2B	10.61930296	10.46250227	11.76445696	11.77561028	10.78545247	10.73470962	11.06204614	10.48381578	11.19229281	10.69696753	10.12541347	11.20640391	10.5137276	11.31288296	9.978710459	10.87881728	10.63208641	10.41996018	11.36522885	12.31203206
FAM214B	10.21916852	9.571752644	10.29576893	10.75822321	10.17741954	10.34207467	10.17741954	10.06204614	10.46862404	9.654636029	9.177419538	9.398743692	10.29001885	10.12541347	9.184875343	9.651051691	9.994353437	10.61470984	9.461479447	9.900866808
COPZ2	10.00982862	8.438791853	9.415741768	10.17242751	9.84862294	10.55650605	8.918863237	9.424166289	10.45327063	10.45532722	8.861086906	7.055282436	9.703903573	6.942514505	8.794415866	9.364134655	10.91811785	9.632995197	7.900866808	9.670656249
PRKAR2B	12.86089298	11.42626475	12.67815996	12.3426303	10.09934781	10.81938079	11.66044165	9.417852515	11.96325736	12.63163181	11.46505617	11.80815977	9.076815597	6.64385619	9.187352073	11.10983065	7.54689446	12.7548875	10.52649924	11.19475685
MSL3	10.04712391	10.74819285	10.11894107	10.12282799	10.20089861	11.07881795	10.29462075	9.903881846	10.4655664	10.17367714	9.981567282	10.82097669	10.99647349	9.533329732	10.86495992	9.960001932	10.09407769	10.30947635	10.86418614	10.65105169
CREBBP	12.55074679	12.82017896	12.87805091	12.16553514	12.268542	13.05782254	12.91606605	13.40554038	13.06877828	12.973518	13.27990072	12.86089298	12.35837648	12.13121391	13.03204573	13.24272754	12.96289601	12.93129155	12.37721053	12.72685676
TSPOAP1	10.3586512	10.38801729	10.83999107	11.14402087	9.041659152	8.980139578	9.749869427	10.33203655	10.13955135	10.78871833	10.03754695	6.459431619	10.72366094	10.75070699	9.177419538	11.20579325	10.57175264	9.601770788	10.97727992	12.15545073
MPO	2	3	4.321928095	2	2.321928095	4	3.169925001	2	4.247927513	3	2.321928095	3.321928095	3.584962501	3	3.584962501	2.584962501	4.169925001	3.169925001	5.392317423	1
PON1	7.033423002	2.321928095	0	6.614709844	3	2.321928095	3.906890596	2.584962501	2	0	1	0	4.087462841	1.584962501	2	4.64385619	0	1.584962501	8.997179481	0
GCFC2	9.99859043	9.746514321	9.984418459	9.651051691	9.674192268	9.707359132	9.620219826	9.459431619	9.724513853	9.649256178	9.923327485	10.09275714	10.23361968	10.51076417	10.21916852	9.920352855	10.34429591	9.842350343	9.948367232	10.09407769
WDR54	8.535275377	8.82336724	9.317412614	10.10459875	10.81858218	9.131856961	10.48884435	8.87958325	9.071462363	10.28655776	9.926295995	10.58025857	10.32979634	10.72195361	11.033423	8.569855608	9.789533645	9.56414949	10.30263892	10.13570929
CROT	11.54689446	11.06676193	9.957102042	10.1959873	9.736401931	10.25974326	11.25620869	9.926295995	10.08214904	10.23361968	8.139551352	9.174925683	9.537218401	9.951284715	11.51668495	13.19567979	8.787902559	10.1959873	9.851749041	9.871905238
ABCB4	6.409390936	6.714245518	6	6.247927513	6.209453366	7.375039431	5.491853096	6.22881869	6.686500527	7.312882955	6.930737338	5.044394119	6.523561956	7.781359714	6.614709844	6.906890596	5.209453366	6.95419631	5.523561956	6.475733431
KMT2E	12.92053895	12.61194694	12.15987134	10.78871833	12.16773174	12.42600261	12.44138803	12.58707428	12.51889899	12.57506646	12.52796564	11.60037755	11.71209705	10.99152185	11.97118427	12.74861218	11.5028318	12.42495357	12.01506653	10.83051521
RHBDD2	12.83269226	12.41626974	12.47876962	13.46416282	13.2137118	11.72792045	13.03600185	12.34928123	12.71574754	12.80170836	11.23302043	12.55698496	11.48381578	11.95492329	11.57695666	11.93110683	11.57742883	12.67242534	12.77210834	11.509775
SOX8	4.459431619	6.06608919	6.357552005	6.022367813	5.426264755	5.426264755	6.409390936	4.64385619	6.321928095	5.285402219	3.584962501	2.321928095	3.700439718	8.076815597	3.169925001	5.285402219	4.459431619	3.700439718	3.169925001	5.459431619
IBTK	12.31032876	12.14942959	11.84979602	11.2632692	11.02236781	12.21249639	11.79522797	12.00492268	12.12185725	11.77190208	12.28453495	12.04200131	11.66222331	11.99081308	12.29691621	11.83683936	12.7084373	12.53186878	11.60037755	10.85252951
ZNF195	10.53818893	10.203348	10.04439412	10.05663772	10.69087101	10.32305476	10.24911345	10.46760555	9.843921051	10.39124359	11.57884439	10.3586512	10.3553511	10.56510208	10.67242534	10.33315535	9.259743264	10.14338321	9.533329732	9.317412614
MYCBP2	11.58965115	12.37829486	11.20945337	9.839203788	10.21674586	12.3140167	11.62479546	11.28135051	12.25827158	10.70994538	11.94946198	10.83526092	10.29001885	9.511752654	10.85564717	11.52552081	11.14911199	12.24733418	11.81778312	10.15987134
FBXL3	12.23989682	12.01506653	11.1176431	11.20579325	11.21249639	11.77025093	11.5112585	10.66266838	11.64024494	11.71166697	11.30606169	10.39446269	10.15355203	11	11.50481899	11.40939094	10.76071995	11.17679648	11.59618976	11.05866825
ITGAL	9.487840034	11.62479546	9.330916878	10.55458885	10.21674586	11.80211242	10.15355203	9.247927513	10.5574637	8.573647187	9.011227255	10.85252951	8.84862294	8.339850003	10.82972274	7.665335917	11.01332267	10.37829486	11.19105921	9.77807713
PDK2	10.02652344	10.50878516	9.759888183	10.46862404	9.355351096	9.864186145	9.719388821	11.43358544	10.32080055	10.49385545	11.35480034	11.32080055	10.99929539	10.59991284	11.40567333	10.81378119	10.54785851	10.16364968	10.2467406	11.43567026
ITGA3	12.15228484	12.88302507	12.34789814	12.68759439	13.1091777	10.98726401	12.5703301	12.21886591	12.72408746	12.41837972	12.60617384	12.36604895	11.71037597	11.99964774	11.2179577	11.53430288	10.41574177	12.33007655	12.14879432	13.17882044
ZFX	11.84156435	11.88073144	11.17305246	10.54689446	11.53186878	11.70087316	11.40087944	11.73216743	11.38424412	11.47927503	12.12185725	10.79116289	11.41415668	10.8963324	12.37964912	12.56295787	12.56367296	11.90199819	11.66711154	11.22158712
